"","ID","author"
"1","ISI:000383936800061","Vega-Vazquez, Manuela"
"2","ISI:000383936800061","Jose Cossio-Silva, Francisco"
"3","ISI:000383936800061","Revilla-Camacho, Maria-Angeles"
"4","ISI:000382964100002","Choi, Suk Bong"
"5","ISI:000382964100002","Williams, Christopher"
"6","ISI:000378462200009","Czarnitzki, Dirk"
"7","ISI:000378462200009","Doherr, Thorsten"
"8","ISI:000378462200009","Hussinger, Katrin"
"9","ISI:000378462200009","Schliessler, Paula"
"10","ISI:000378462200009","Toole, Andrew A."
"11","ISI:000375516900005","Javalgi, Rajshekhar (Raj) G."
"12","ISI:000375516900005","Grossman, David A."
"13","ISI:000373748900009","Martin, Silvia L."
"14","ISI:000373748900009","Javalgi, Rajshekhar (Raj) G."
"15","ISI:000384623000002","Wijesekara, W. A. D. S."
"16","ISI:000384623000002","Kumara, P. A. P. Samantha"
"17","ISI:000384623000002","Gunawardana, T. S. L. W."
"18","ISI:000369949700003","Bertoni, Fabio"
"19","ISI:000369949700003","D'Adda, Diego"
"20","ISI:000369949700003","Grilli, Luca"
"21","ISI:000369327400001","Huang, Hao-Chen"
"22","ISI:000384636400004","Ghasemi, Bahare"
"23","ISI:000384636400004","Rowshan, Aligholi"
"24","ISI:000382170300003","Anwar, Muhammad Naveed"
"25","ISI:000382170300003","Daniel, Elizabeth"
"26","ISI:000376139600005","Yu, Xiaoyu"
"27","ISI:000376139600005","Nguyen, Bang"
"28","ISI:000376139600005","Chen, Yi"
"29","ISI:000376139600012","Sun, Jialu"
"30","ISI:000376139600012","Yao, Meifang"
"31","ISI:000376139600012","Zhang, Weiyong"
"32","ISI:000376139600012","Chen, Yong"
"33","ISI:000376139600012","Liu, Yan"
"34","ISI:000375405700005","Mirzaei, Omid"
"35","ISI:000375405700005","Micheels, Eric T."
"36","ISI:000375405700005","Boecker, Andreas"
"37","ISI:000374138100001","Alonso, Abel Duarte"
"38","ISI:000374154000009","Morgan, Todd"
"39","ISI:000374154000009","Anokhin, Sergey"
"40","ISI:000374154000009","Wincent, Joakim"
"41","ISI:000374177800003","Amin, Muslim"
"42","ISI:000374177800003","Thurasamy, Ramayah"
"43","ISI:000374177800003","Aldakhil, Abdullah M."
"44","ISI:000374177800003","Bin
Kaswuri, Aznur Hafeez"
"45","ISI:000366086000014","Perez-Luno, Ana"
"46","ISI:000366086000014","Saparito, Patrick"
"47","ISI:000366086000014","Gopalakrishnan, Shanti"
"48","ISI:000367418800005","Reijonen, Helen"
"49","ISI:000367418800005","Hirvonen, Saku"
"50","ISI:000367418800005","Nagy, Gabor"
"51","ISI:000367418800005","Laukkanen, Tommi"
"52","ISI:000367418800005","Gabrielsson, Mika"
"53","ISI:000361763000004","Morgan, Todd"
"54","ISI:000361763000004","Anokhin, Sergey"
"55","ISI:000361763000004","Kretinin, Andrey"
"56","ISI:000361763000004","Frishammar, Johan"
"57","ISI:000362324000002","Ka"
"58","ISI:000362324000002",", Hamidreza"
"59","ISI:000362324000002","Westerlund, Mika"
"60","ISI:000360806100011","D'Angelo, Alfredo"
"61","ISI:000360806100011","Benassi, Mario"
"62","ISI:000359282800013","Godley, Andrew C."
"63","ISI:000359282800013","Casson, Mark C."
"64","ISI:000358334900010","Cai, Li"
"65","ISI:000358334900010","Liu, Qing"
"66","ISI:000358334900010","Zhu, Xiumei"
"67","ISI:000358334900010","Deng, Shengliang"
"68","ISI:000356001900016","Schumacher, Heiner"
"69","ISI:000356001900016","Gerling, Kerstin"
"70","ISI:000356001900016","Kowalik, Michal"
"71","ISI:000358135300017","Mejia, Javier"
"72","ISI:000350812400002","Engelen, Andreas"
"73","ISI:000350812400002","Schmidt, Susanne"
"74","ISI:000350812400002","Buchsteiner, Michael"
"75","ISI:000373693400008","Fillis, Ian"
"76","ISI:000366494400005","Chetty, Sylvie"
"77","ISI:000366494400005","Ojala, Arto"
"78","ISI:000366494400005","Leppaaho, Tanja"
"79","ISI:000346473300005","Keyhani, Mohammad"
"80","ISI:000346473300005","Levesque, Moren"
"81","ISI:000346473300005","Madhok, Anoop"
"82","ISI:000343707800003","Rethel, Lena"
"83","ISI:000343707800003","Sinclair, Timothy J."
"84","ISI:000347759400007","Cao, Jerry"
"85","ISI:000347759400007","Liu, Qigui"
"86","ISI:000347759400007","Tian, Gary G."
"87","ISI:000341095600007","Hoffmann, Mathias"
"88","ISI:000337213600001","Jarman, Holly"
"89","ISI:000330794900004","Baglieri, Daniela"
"90","ISI:000330794900004","Lorenzoni, Gianni"
"91","ISI:000340736000003","De Clercq, Dirk"
"92","ISI:000340736000003","Zhou, Lianxi"
"93","ISI:000331595100007","Wang, Lei"
"94","ISI:000331595100007","Potter, Cuz"
"95","ISI:000331595100007","Li, Zhigang"
"96","ISI:000328000700001","Godley, Andrew Christopher"
"97","ISI:000326692700003","Merigo, Jose M."
"98","ISI:000326692700003","Rocha, Cimar"
"99","ISI:000326692700003","Garcia-Agreda, Sergio"
"100","ISI:000324347000008","Hallback, Johanna"
"101","ISI:000324347000008","Gabrielsson, Peter"
"102","ISI:000325594300003","Boso, Nathaniel"
"103","ISI:000325594300003","Story, Vicky M."
"104","ISI:000325594300003","Cadogan, John W."
"105","ISI:000209406900002","Hills, Gerald E."
"106","ISI:000209406900002","Hultman, Claes"
"107","ISI:000325233500012","Wallnoefer, Maria"
"108","ISI:000325233500012","Hacklin, Fredrik"
"109","ISI:000319789800002","Carvalho, Jaimilton"
"110","ISI:000319789800002","Divino, Jose Angelo"
"111","ISI:000319789800002","Orrillo, Jaime"
"112","ISI:000318773300005","Jones, Rosalind"
"113","ISI:000318773300005","Suoranta, Mari"
"114","ISI:000318773300005","Rowley, Jennifer"
"115","ISI:000323411700012","Brezuleanu, Carmen Olguta"
"116","ISI:000323411700012","Brezuleanu, Stejarel"
"117","ISI:000323411700012","Iatco, Constantin"
"118","ISI:000317751100002","Chen, Hsiang Ling"
"119","ISI:000317751100002","Hsu, Chun-Hui"
"120","ISI:000313593100004","Boso, Nathaniel"
"121","ISI:000313593100004","Cadogan, John W."
"122","ISI:000313593100004","Story, Vicky M."
"123","ISI:000315177500039","Grgar, Diona"
"124","ISI:000315177500039","Tot, Vilmos"
"125","ISI:000315177500039","Savic-Tot, Tijana"
"126","ISI:000314136400007","von Engelhardt, Sebastian"
"127","ISI:000311458600083","Cadeaux, Jack"
"128","ISI:000308905100007","Clausen, Tommy"
"129","ISI:000308905100007","Korneliussen, Tor"
"130","ISI:000310048900012","Chen, Yen-Chun"
"131","ISI:000310048900012","Li, Po-Chien"
"132","ISI:000310048900012","Evans, Kenneth R."
"133","ISI:000307425200002","Gregoire, Denis A."
"134","ISI:000307425200002","Shepherd, Dean A."
"135","ISI:000305319000010","Boso, Nathaniel"
"136","ISI:000305319000010","Cadogan, John W."
"137","ISI:000305319000010","Story, Vicky M."
"138","ISI:000306214400004","Eggers, Fabian"
"139","ISI:000306214400004","Hansen, David J."
"140","ISI:000306214400004","Davis, Amy E."
"141","ISI:000306214400005","Bettiol, Marco"
"142","ISI:000306214400005","Di Maria, Eleonora"
"143","ISI:000306214400005","Finotto, Vladi"
"144","ISI:000304221400007","Balmann, Alfons"
"145","ISI:000304221400007","Glauben, Thomas"
"146","ISI:000304221400007","Grings, Michael"
"147","ISI:000304221400007","Hirschauer, Norbert"
"148","ISI:000304221400007","Honeit, Rebekka"
"149","ISI:000304221400007","Lehberger, Mira"
"150","ISI:000304221400007","Wagner, Peter"
"151","ISI:000301696200001","Brettel, Malte"
"152","ISI:000301696200001","Strese, Steffen"
"153","ISI:000301696200001","Flatten, Tessa C."
"154","ISI:000298789100001","Arora, Ashish"
"155","ISI:000298789100001",""
"156","ISI:000298789100001","umar, Anand"
"157","ISI:000307481900005","Siegel, Donald S."
"158","ISI:000307481900005","Renko, Maija"
"159","ISI:000306206200005","Sundqvist, Sanna"
"160","ISI:000306206200005","Kylaheiko, Kalevi"
"161","ISI:000306206200005","Kuivalainen, Olli"
"162","ISI:000306206200005","Cadogan, John W."
"163","ISI:000303369000012","Mort, Gillian Sullivan"
"164","ISI:000303369000012","Weerawardena, Jay"
"165","ISI:000303369000012","Liesch, Peter"
"166","ISI:000298942200007","Lisboa, Ana"
"167","ISI:000298942200007","Skarmeas, Dionysis"
"168","ISI:000298942200007","Lages, Carmen"
"169","ISI:000294953600062","Osman, Mohd Hassan Mohd"
"170","ISI:000294953600062","Ahmad, Fauziah Sheikh"
"171","ISI:000294953600062","Rashid, Muhammad
Amir"
"172","ISI:000294953600062","Hussain, Ghulam"
"173","ISI:000291036700001","Cumming, Douglas"
"174","ISI:000291036700001","Suret, Jean-Marc"
"175","ISI:000290541700005","Hakala, Henri"
"176","ISI:000289441600002","Dew, Nicholas"
"177","ISI:000289441600002","Read, Stuart"
"178","ISI:000289441600002","Sarasvathy, Saras D."
"179","ISI:000289441600002","Wiltbank, Robert"
"180","ISI:000289394200008","BenDor, Todd K."
"181","ISI:000289394200008","Riggsbee, J. Adam"
"182","ISI:000287531100002","Jones, Rosalind"
"183","ISI:000287531100002","Rowley, Jennifer"
"184","ISI:000285869100010","Davis, Jullet A."
"185","ISI:000285869100010","Marino, Louis D."
"186","ISI:000285869100010","Aaron, Joshua R."
"187","ISI:000285869100010","Tolbert, Carl L."
"188","ISI:000295755900014","Neri, Massimiliano"
"189","ISI:000281770300010","Horwitz, Steven"
"190","ISI:000280536900005","Stam, Erik"
"191","ISI:000280536900005","Thurik, Roy"
"192","ISI:000280536900005","van der Zwan, Peter"
"193","ISI:000280536900011","Pitelis, Christos N."
"194","ISI:000280536900011","Teece, David J."
"195","ISI:000280444300008","Khavul, Susanna"
"196","ISI:000280444300008","Benson, George S."
"197","ISI:000280444300008","Datta, Deepak K."
"198","ISI:000276482300008","Luo, Yulei"
"199","ISI:000276482300008","Gong, Liutang"
"200","ISI:000276482300008","Zou, Heng-fu"
"201","ISI:000276439300005","Schubert, Torben"
"202","ISI:000281154700001","Tolstoy, Daniel"
"203","ISI:000274682400012","Lusch, Robert F."
"204","ISI:000274682400012","Liu, Yong"
"205","ISI:000274682400012","Chen, Yubo"
"206","ISI:000298319200004","Shadbolt, Nicola Mary"
"207","ISI:000298319200004","Olubode-Awasola, Femi"
"208","ISI:000298319200004","Gray, David"
"209","ISI:000298319200004","Dooley, Elizabeth"
"210","ISI:000273655200010","Dushnitsky, Gary"
"211","ISI:000270900500003","Ross, R. Brent"
"212","ISI:000270900500003","Westgren, "
"213","ISI:000270900500003","ll E."
"214","ISI:000281807400003","Bingham, Christopher B."
"215","ISI:000269730900002","Baker, William E."
"216","ISI:000269730900002","Sinkula, James M."
"217","ISI:000286777100010","Brush, "
"218","ISI:000286777100010","da G."
"219","ISI:000286777100010","Ceru, Dennis J."
"220","ISI:000286777100010","Blackburn, Robert"
"221","ISI:000267541800006","Merlo, Omar"
"222","ISI:000267541800006","Auh, Seigyoung"
"223","ISI:000269419600002","Santos, Filipe M."
"224","ISI:000269419600002","Eisenhardt, Kathleen M."
"225","ISI:000266924100005","Renko, Maija"
"226","ISI:000266924100005","Carsrud, Alan"
"227","ISI:000266924100005","Braennback, Malin"
"228","ISI:000265856400004","Robertson, Morgan"
"229","ISI:000265302800011","Streissler, Erich W."
"230","ISI:000270183800005","Kocak, Akin"
"231","ISI:000270183800005","Abimbola, Temi"
"232","ISI:000262209400017","Rankin, Katharine N."
"233","ISI:000256612800020","Robertson, Morgan"
"234","ISI:000256612800020","Hayden, Nicholas"
"235","ISI:000260556200003","Norman, George"
"236","ISI:000260556200003","Pepall, Lynne"
"237","ISI:000260556200003","Richards, Daniel J."
"238","ISI:000252890400001","Grunhagen, Marko"
"239","ISI:000252890400001","Mishra, C"
"240","ISI:000252890400001","a S."
"241","ISI:000252890400008","Hills, Gerald E."
"242","ISI:000252890400008","Hultman, Claes M."
"243","ISI:000252890400008","Miles, Morgan P."
"244","ISI:000252890400009","Li, Yuan"
"245","ISI:000252890400009","Zhao, Yongbin"
"246","ISI:000252890400009","Tan, Justin"
"247","ISI:000252890400009","Liu, Yi"
"248","ISI:000250984200003","Hughes, Mathew"
"249","ISI:000250984200003","Hughes, Paul"
"250","ISI:000250984200003","Morgan, Robert E."
"251","ISI:000251756800004","Frishammar, Johan"
"252","ISI:000251756800004","Horte, Sven Ake"
"253","ISI:000248892900006","Zhou, Lianxi"
"254","ISI:000245774300007","Keh, Hean Tat"
"255","ISI:000245774300007","Nguyen, Thi Tuyet Mai"
"256","ISI:000245774300007","Ng, Hwei Ping"
"257","ISI:000253899000002","van Zyl, H. J. C."
"258","ISI:000253899000002","Mathur-Helm, B."
"259","ISI:000243735100003","Parker, Simon C."
"260","ISI:000240997000015","Robertson, M. M."
"261","ISI:000240372000003","Wu, Brian"
"262","ISI:000240372000003","Knott, Anne Marie"
"263","ISI:000239527600014","Robertson, Morgan M."
"264","ISI:000238750300003","Miles, MP"
"265","ISI:000238750300003","Darroch, J"
"266","ISI:000241079800004","Kropp, Fredric"
"267","ISI:000241079800004","Lindsay, Noel J."
"268","ISI:000241079800004","Shoham, Aviv"
"269","ISI:000234022100005","Lee, JH"
"270","ISI:000234022100005","Venkataraman, S"
"271","ISI:000232402100003","Psaltopoulos, D"
"272","ISI:000232402100003","Stathopoulou, S"
"273","ISI:000232402100003","Skuras, D"
"274","ISI:000225316200002","Bhuian, SN"
"275","ISI:000225316200002","Menguc, B"
"276","ISI:000225316200002","Bell, SJ"
"277","ISI:000221121600002","Baumol, WJ"
"278","ISI:000221805900004","Huyghebaert, N"
"279","ISI:000221805900004","De Gucht, LMV"
"280","ISI:000220534800005","Ohyama, A"
"281","ISI:000220534800005","Braguinsky, S"
"282","ISI:000220534800005","Murphy, KM"
"283","ISI:000189378900008","Shaw, E"
"284","ISI:000185494500012","Kropp, F"
"285","ISI:000183542500005","Castellion, G"
"286","ISI:000182555200006","Feenstra, GW"
"287","ISI:000182555200006","Lewis, CC"
"288","ISI:000182555200006","Hinrichs, CC"
"289","ISI:000182555200006","Gillespie, GW"
"290","ISI:000182555200006","Hilchey, D"
"291","ISI:000176835600002","Matsuno, K"
"292","ISI:000176835600002","Mentzer, JT"
"293","ISI:000176835600002","Ozsomer, A"
"294","ISI:000180978400034","Debenham, J"
"295","ISI:000178007000012","Mutiti, JK"
"296","ISI:000166786500003","Igel, B"
"297","ISI:000166786500003","Islam, N"
